Latitude Longitude Value, endStep
   44.372   11.762 0.5 24
   44.372   11.782 0.5 24
   44.372   11.802 0.4 24
   44.372   11.822 0.4 24
   44.372   11.842 0.5 24
   44.372   11.862 0.4 24
   44.372   11.882 0.4 24
   44.372   11.902 0.3 24
   44.372   11.922 0.3 24
   44.372   11.942 0.3 24
   44.372   11.962 0.3 24
   44.392   11.722 0.4 24
   44.392   11.742 0.4 24
   44.392   11.762 0.3 24
   44.392   11.782 0.3 24
   44.392   11.802 0.2 24
   44.392   11.822 0.2 24
   44.392   11.842 0.2 24
   44.392   11.862 0.2 24
   44.392   11.882 0.2 24
   44.392   11.902 0.2 24
   44.392   11.922 0.2 24
   44.392   11.942 0.2 24
   44.392   11.962 0.2 24
Latitude Longitude Value, endStep
   44.252   11.722 2.4 48
   44.252   11.742 2.4 48
   44.252   11.762 2.2 48
   44.252   11.782 2.0 48
   44.252   11.802 2.0 48
   44.252   11.822 2.0 48
   44.252   11.842 1.8 48
   44.252   11.862 1.8 48
   44.252   11.882 1.8 48
   44.252   11.902 1.6 48
   44.252   11.922 1.4 48
   44.252   11.942 1.2 48
   44.252   11.962 1.2 48
   44.272   11.722 2.1 48
   44.272   11.742 2.1 48
   44.272   11.762 2.0 48
   44.272   11.782 2.0 48
   44.272   11.802 2.0 48
   44.272   11.822 2.0 48
   44.272   11.842 2.1 48
   44.272   11.862 1.9 48
   44.272   11.882 1.9 48
   44.272   11.902 1.5 48
   44.272   11.922 1.3 48
   44.272   11.942 1.0 48
   44.272   11.962 1.0 48
   44.292   11.722 1.8 48
   44.292   11.742 1.8 48
   44.292   11.762 1.9 48
   44.292   11.782 2.1 48
   44.292   11.802 2.2 48
   44.292   11.822 2.2 48
   44.292   11.842 1.8 48
   44.292   11.862 1.6 48
   44.292   11.882 1.6 48
   44.292   11.902 1.3 48
   44.292   11.922 1.1 48
   44.292   11.942 1.2 48
   44.292   11.962 1.2 48
   44.312   11.722 2.1 48
   44.312   11.742 2.1 48
   44.312   11.762 2.2 48
   44.312   11.782 2.2 48
   44.312   11.802 1.8 48
   44.312   11.822 1.8 48
   44.312   11.842 1.4 48
   44.312   11.862 1.2 48
   44.312   11.882 1.2 48
   44.312   11.902 1.2 48
   44.312   11.922 1.1 48
   44.312   11.942 1.1 48
   44.312   11.962 1.1 48
   44.332   11.722 2.3 48
   44.332   11.742 2.3 48
   44.332   11.762 2.0 48
   44.332   11.782 1.7 48
   44.332   11.802 1.4 48
   44.332   11.822 1.4 48
   44.332   11.842 1.2 48
   44.332   11.862 1.2 48
   44.332   11.882 1.2 48
   44.332   11.902 1.1 48
   44.332   11.922 1.1 48
   44.332   11.942 1.0 48
   44.332   11.962 1.0 48
   44.352   11.722 1.9 48
   44.352   11.742 1.9 48
   44.352   11.762 1.6 48
   44.352   11.782 1.4 48
   44.352   11.802 1.3 48
   44.352   11.822 1.3 48
   44.352   11.842 1.1 48
   44.352   11.862 1.1 48
   44.352   11.882 1.1 48
   44.352   11.902 1.0 48
   44.352   11.922 1.0 48
   44.352   11.942 0.9 48
   44.352   11.962 0.9 48
   44.372   11.722 1.7 48
   44.372   11.742 1.7 48
   44.372   11.762 1.4 48
   44.372   11.782 1.3 48
   44.372   11.802 1.2 48
   44.372   11.822 1.2 48
   44.372   11.842 1.1 48
   44.372   11.862 1.0 48
   44.372   11.882 1.0 48
   44.372   11.902 0.9 48
   44.372   11.922 0.8 48
   44.372   11.942 0.8 48
   44.372   11.962 0.8 48
   44.392   11.722 1.4 48
   44.392   11.742 1.4 48
   44.392   11.762 1.2 48
   44.392   11.782 1.2 48
   44.392   11.802 1.1 48
   44.392   11.822 1.1 48
   44.392   11.842 1.0 48
   44.392   11.862 0.9 48
   44.392   11.882 0.9 48
   44.392   11.902 0.8 48
   44.392   11.922 0.8 48
   44.392   11.942 0.8 48
   44.392   11.962 0.8 48
Latitude Longitude Value, endStep
   44.252   11.722 5.2 72
   44.252   11.742 5.2 72
   44.252   11.762 5.1 72
   44.252   11.782 4.9 72
   44.252   11.802 4.7 72
   44.252   11.822 4.7 72
   44.252   11.842 4.5 72
   44.252   11.862 4.1 72
   44.252   11.882 4.1 72
   44.252   11.902 4.0 72
   44.252   11.922 3.8 72
   44.252   11.942 3.7 72
   44.252   11.962 3.7 72
   44.272   11.722 5.1 72
   44.272   11.742 5.1 72
   44.272   11.762 4.9 72
   44.272   11.782 4.6 72
   44.272   11.802 4.4 72
   44.272   11.822 4.4 72
   44.272   11.842 4.1 72
   44.272   11.862 4.0 72
   44.272   11.882 4.0 72
   44.272   11.902 3.9 72
   44.272   11.922 3.9 72
   44.272   11.942 3.8 72
   44.272   11.962 3.8 72
   44.292   11.722 5.0 72
   44.292   11.742 5.0 72
   44.292   11.762 4.7 72
   44.292   11.782 4.3 72
   44.292   11.802 4.1 72
   44.292   11.822 4.1 72
   44.292   11.842 3.9 72
   44.292   11.862 4.0 72
   44.292   11.882 4.0 72
   44.292   11.902 3.8 72
   44.292   11.922 3.8 72
   44.292   11.942 3.7 72
   44.292   11.962 3.7 72
   44.312   11.722 4.7 72
   44.312   11.742 4.7 72
   44.312   11.762 4.3 72
   44.312   11.782 4.1 72
   44.312   11.802 3.8 72
   44.312   11.822 3.8 72
   44.312   11.842 3.7 72
   44.312   11.862 3.7 72
