Latitude, Longitude, Value
   43.643    9.134 1.2530907631e+01
   43.643    9.197 1.2354149818e+01
   43.643    9.260 1.2269188881e+01
   43.643    9.323 1.2170556068e+01
   43.643    9.386 1.1951317787e+01
   43.643    9.449 1.1815575600e+01
   43.643    9.512 1.1732567787e+01
   43.643    9.575 1.1633446693e+01
   43.643    9.638 1.1464501381e+01
   43.643    9.701 1.1258934975e+01
   43.643    9.765 1.1052880287e+01
   43.643    9.828 1.0822411537e+01
   43.643    9.891 1.0457665443e+01
   43.643    9.954 1.0043602943e+01
   43.643   10.017 9.6417474747e+00
   43.643   10.080 9.1778802872e+00
   43.643   10.143 8.5484857559e+00
   43.643   10.206 7.8873529434e+00
   43.643   10.269 7.0284662247e+00
   43.643   10.332 4.0411615372e+00
   43.643   10.395 4.2057123184e+00
   43.643   10.458 4.2877435684e+00
   43.643   10.521 4.3912591934e+00
   43.643   10.584 4.8204584122e+00
   43.643   10.647 5.3614740372e+00
   43.643   10.710 5.4478998184e+00
   43.643   10.773 4.9522943497e+00
   43.643   10.836 4.4093255997e+00
   43.643   10.899 3.9098138809e+00
   43.643   10.962 3.4937982559e+00
   43.643   11.026 3.5992670059e+00
   43.643   11.089 4.1905755997e+00
   43.643   11.152 3.5738763809e+00
   43.643   11.215 3.7394037247e+00
   43.643   11.278 3.0484857559e+00
   43.643   11.341 2.8287591934e+00
   43.643   11.404 4.0016107559e+00
   43.643   11.467 3.6344232559e+00
   43.643   11.530 3.8971185684e+00
   43.643   11.593 2.0128412247e+00
   43.643   11.656 9.0395450592e-01
   43.643   11.719 2.4630365372e+00
   43.643   11.782 4.5387201309e+00
   43.643   11.845 2.4278802872e+00
   43.643   11.908 1.0592279434e+00
   43.643   11.971 1.6490716934e+00
   43.643   12.034 3.3097162247e+00
   43.643   12.097 2.5719232559e+00
   43.643   12.160 1.4293451309e+00
   43.643   12.223 7.3061466217e-01
   43.643   12.287 2.3287591934e+00
   43.643   12.350 2.5870599747e+00
   43.643   12.413 1.9728021622e+00
   43.643   12.476 2.2887201309e+00
   43.643   12.539 2.7594232559e+00
   43.643   12.602 2.9620599747e+00
   43.643   12.665 1.2838373184e+00
   43.643   12.728 2.4581537247e+00
   43.643   12.791 3.2979974747e+00
   43.643   12.854 4.0582513809e+00
   43.688    9.134 1.2800438881e+01
   43.688    9.197 1.2417138100e+01
   43.688    9.260 1.2155419350e+01
   43.688    9.323 1.2118309975e+01
   43.688    9.386 1.1974755287e+01
   43.688    9.449 1.1839989662e+01
   43.688    9.512 1.1730614662e+01
   43.688    9.575 1.1635888100e+01
   43.688    9.638 1.1458153725e+01
   43.688    9.701 1.1216942787e+01
   43.688    9.765 1.0948388100e+01
   43.688    9.828 1.0678856850e+01
   43.688    9.891 1.0301903725e+01
   43.688    9.954 9.8893060684e+00
   43.688   10.017 9.4381341934e+00
   43.688   10.080 8.9903802872e+00
   43.688   10.143 8.4293451309e+00
   43.688   10.206 7.8741693497e+00
   43.688   10.269 6.9635248184e+00
   43.688   10.332 3.8829584122e+00
